model,dataset,test_run,group_axis,confidence_source,confidence_threshold,uncertainty_reject_fraction,review_fraction,reason
TAPB,bindingdb,seed_4,target,base,0.9,0.1,0.2,formal_error_detection_auprc_nonfinite|formal_error_detection_auroc_nonfinite|formal_retained_accuracy_gain_vs_residual_nonfinite|formal_review_lift_nonfinite|formal_review_recall_of_residual_errors_nonfinite|v2_error_detection_auprc_nonfinite|v2_error_detection_auroc_nonfinite|v2_retained_accuracy_gain_vs_residual_nonfinite|v2_review_lift_nonfinite|v2_review_recall_of_residual_errors_nonfinite
TAPB,bindingdb,seed_4,target,base,0.9,0.2,0.2,formal_error_detection_auprc_nonfinite|formal_error_detection_auroc_nonfinite|formal_retained_accuracy_gain_vs_residual_nonfinite|formal_review_lift_nonfinite|formal_review_recall_of_residual_errors_nonfinite|v2_error_detection_auprc_nonfinite|v2_error_detection_auroc_nonfinite|v2_retained_accuracy_gain_vs_residual_nonfinite|v2_review_lift_nonfinite|v2_review_recall_of_residual_errors_nonfinite
TAPB,bindingdb,seed_4,drug,base,0.8,0.1,0.2,formal_error_detection_auprc_nonfinite|formal_error_detection_auroc_nonfinite|formal_retained_accuracy_gain_vs_residual_nonfinite|formal_review_lift_nonfinite|formal_review_recall_of_residual_errors_nonfinite|v2_error_detection_auprc_nonfinite|v2_error_detection_auroc_nonfinite|v2_retained_accuracy_gain_vs_residual_nonfinite|v2_review_lift_nonfinite|v2_review_recall_of_residual_errors_nonfinite
TAPB,bindingdb,seed_4,drug,base,0.8,0.2,0.2,formal_error_detection_auprc_nonfinite|formal_error_detection_auroc_nonfinite|formal_retained_accuracy_gain_vs_residual_nonfinite|formal_review_lift_nonfinite|formal_review_recall_of_residual_errors_nonfinite|v2_error_detection_auprc_nonfinite|v2_error_detection_auroc_nonfinite|v2_retained_accuracy_gain_vs_residual_nonfinite|v2_review_lift_nonfinite|v2_review_recall_of_residual_errors_nonfinite
TAPB,bindingdb,seed_4,drug,base,0.9,0.1,0.2,formal_error_detection_auprc_nonfinite|formal_error_detection_auroc_nonfinite|formal_retained_accuracy_gain_vs_residual_nonfinite|formal_review_lift_nonfinite|formal_review_recall_of_residual_errors_nonfinite|v2_error_detection_auprc_nonfinite|v2_error_detection_auroc_nonfinite|v2_retained_accuracy_gain_vs_residual_nonfinite|v2_review_lift_nonfinite|v2_review_recall_of_residual_errors_nonfinite
TAPB,bindingdb,seed_4,drug,base,0.9,0.2,0.2,formal_error_detection_auprc_nonfinite|formal_error_detection_auroc_nonfinite|formal_retained_accuracy_gain_vs_residual_nonfinite|formal_review_lift_nonfinite|formal_review_recall_of_residual_errors_nonfinite|v2_error_detection_auprc_nonfinite|v2_error_detection_auroc_nonfinite|v2_retained_accuracy_gain_vs_residual_nonfinite|v2_review_lift_nonfinite|v2_review_recall_of_residual_errors_nonfinite
TAPB,bindingdb,seed_6,target,base,0.8,0.1,0.2,formal_error_detection_auprc_nonfinite|formal_error_detection_auroc_nonfinite|formal_retained_accuracy_gain_vs_residual_nonfinite|formal_review_lift_nonfinite|formal_review_recall_of_residual_errors_nonfinite|v2_error_detection_auprc_nonfinite|v2_error_detection_auroc_nonfinite|v2_retained_accuracy_gain_vs_residual_nonfinite|v2_review_lift_nonfinite|v2_review_recall_of_residual_errors_nonfinite
TAPB,bindingdb,seed_6,target,base,0.8,0.2,0.2,formal_error_detection_auprc_nonfinite|formal_error_detection_auroc_nonfinite|formal_retained_accuracy_gain_vs_residual_nonfinite|formal_review_lift_nonfinite|formal_review_recall_of_residual_errors_nonfinite|v2_error_detection_auprc_nonfinite|v2_error_detection_auroc_nonfinite|v2_retained_accuracy_gain_vs_residual_nonfinite|v2_review_lift_nonfinite|v2_review_recall_of_residual_errors_nonfinite
TAPB,bindingdb,seed_6,target,base,0.9,0.1,0.2,formal_error_detection_auprc_nonfinite|formal_error_detection_auroc_nonfinite|formal_retained_accuracy_gain_vs_residual_nonfinite|formal_review_lift_nonfinite|formal_review_recall_of_residual_errors_nonfinite|v2_error_detection_auprc_nonfinite|v2_error_detection_auroc_nonfinite|v2_retained_accuracy_gain_vs_residual_nonfinite|v2_review_lift_nonfinite|v2_review_recall_of_residual_errors_nonfinite
TAPB,bindingdb,seed_6,target,base,0.9,0.2,0.2,formal_error_detection_auprc_nonfinite|formal_error_detection_auroc_nonfinite|formal_retained_accuracy_gain_vs_residual_nonfinite|formal_review_lift_nonfinite|formal_review_recall_of_residual_errors_nonfinite|v2_error_detection_auprc_nonfinite|v2_error_detection_auroc_nonfinite|v2_retained_accuracy_gain_vs_residual_nonfinite|v2_review_lift_nonfinite|v2_review_recall_of_residual_errors_nonfinite
TAPB,bindingdb,seed_6,drug,base,0.8,0.1,0.2,formal_error_detection_auprc_nonfinite|formal_error_detection_auroc_nonfinite|formal_retained_accuracy_gain_vs_residual_nonfinite|formal_review_lift_nonfinite|formal_review_recall_of_residual_errors_nonfinite|v2_error_detection_auprc_nonfinite|v2_error_detection_auroc_nonfinite|v2_retained_accuracy_gain_vs_residual_nonfinite|v2_review_lift_nonfinite|v2_review_recall_of_residual_errors_nonfinite
TAPB,bindingdb,seed_6,drug,base,0.8,0.2,0.2,formal_error_detection_auprc_nonfinite|formal_error_detection_auroc_nonfinite|formal_retained_accuracy_gain_vs_residual_nonfinite|formal_review_lift_nonfinite|formal_review_recall_of_residual_errors_nonfinite|v2_error_detection_auprc_nonfinite|v2_error_detection_auroc_nonfinite|v2_retained_accuracy_gain_vs_residual_nonfinite|v2_review_lift_nonfinite|v2_review_recall_of_residual_errors_nonfinite
TAPB,bindingdb,seed_6,drug,base,0.9,0.1,0.2,formal_error_detection_auprc_nonfinite|formal_error_detection_auroc_nonfinite|formal_retained_accuracy_gain_vs_residual_nonfinite|formal_review_lift_nonfinite|formal_review_recall_of_residual_errors_nonfinite|v2_error_detection_auprc_nonfinite|v2_error_detection_auroc_nonfinite|v2_retained_accuracy_gain_vs_residual_nonfinite|v2_review_lift_nonfinite|v2_review_recall_of_residual_errors_nonfinite
TAPB,bindingdb,seed_6,drug,base,0.9,0.2,0.2,formal_error_detection_auprc_nonfinite|formal_error_detection_auroc_nonfinite|formal_retained_accuracy_gain_vs_residual_nonfinite|formal_review_lift_nonfinite|formal_review_recall_of_residual_errors_nonfinite|v2_error_detection_auprc_nonfinite|v2_error_detection_auroc_nonfinite|v2_retained_accuracy_gain_vs_residual_nonfinite|v2_review_lift_nonfinite|v2_review_recall_of_residual_errors_nonfinite
DrugBAN,bindingdb,seed_8,target,base,0.8,0.1,0.2,formal_retained_accuracy_gain_vs_residual_nonfinite|formal_review_lift_nonfinite|formal_review_recall_of_residual_errors_nonfinite
DrugBAN,bindingdb,seed_8,target,base,0.8,0.2,0.2,formal_retained_accuracy_gain_vs_residual_nonfinite|formal_review_lift_nonfinite|formal_review_recall_of_residual_errors_nonfinite
DrugBAN,bindingdb,seed_8,target,base,0.9,0.1,0.2,formal_error_detection_auprc_nonfinite|formal_error_detection_auroc_nonfinite|formal_retained_accuracy_gain_vs_residual_nonfinite|formal_review_lift_nonfinite|formal_review_recall_of_residual_errors_nonfinite|v2_error_detection_auprc_nonfinite|v2_error_detection_auroc_nonfinite|v2_retained_accuracy_gain_vs_residual_nonfinite|v2_review_lift_nonfinite|v2_review_recall_of_residual_errors_nonfinite
DrugBAN,bindingdb,seed_8,target,base,0.9,0.2,0.2,formal_error_detection_auprc_nonfinite|formal_error_detection_auroc_nonfinite|formal_retained_accuracy_gain_vs_residual_nonfinite|formal_review_lift_nonfinite|formal_review_recall_of_residual_errors_nonfinite|v2_error_detection_auprc_nonfinite|v2_error_detection_auroc_nonfinite|v2_retained_accuracy_gain_vs_residual_nonfinite|v2_review_lift_nonfinite|v2_review_recall_of_residual_errors_nonfinite
DrugBAN,bindingdb,seed_8,drug,base,0.8,0.1,0.2,formal_retained_accuracy_gain_vs_residual_nonfinite|formal_review_lift_nonfinite|formal_review_recall_of_residual_errors_nonfinite
DrugBAN,bindingdb,seed_8,drug,base,0.8,0.2,0.2,formal_retained_accuracy_gain_vs_residual_nonfinite|formal_review_lift_nonfinite|formal_review_recall_of_residual_errors_nonfinite
DrugBAN,bindingdb,seed_8,drug,base,0.9,0.1,0.2,formal_error_detection_auprc_nonfinite|formal_error_detection_auroc_nonfinite|formal_retained_accuracy_gain_vs_residual_nonfinite|formal_review_lift_nonfinite|formal_review_recall_of_residual_errors_nonfinite|v2_error_detection_auprc_nonfinite|v2_error_detection_auroc_nonfinite|v2_retained_accuracy_gain_vs_residual_nonfinite|v2_review_lift_nonfinite|v2_review_recall_of_residual_errors_nonfinite
DrugBAN,bindingdb,seed_8,drug,base,0.9,0.2,0.2,formal_error_detection_auprc_nonfinite|formal_error_detection_auroc_nonfinite|formal_retained_accuracy_gain_vs_residual_nonfinite|formal_review_lift_nonfinite|formal_review_recall_of_residual_errors_nonfinite|v2_error_detection_auprc_nonfinite|v2_error_detection_auroc_nonfinite|v2_retained_accuracy_gain_vs_residual_nonfinite|v2_review_lift_nonfinite|v2_review_recall_of_residual_errors_nonfinite
DrugBAN,human,seed_4,target,base,0.8,0.1,0.2,formal_retained_accuracy_gain_vs_residual_nonfinite|formal_review_lift_nonfinite|formal_review_recall_of_residual_errors_nonfinite
DrugBAN,human,seed_4,target,base,0.8,0.2,0.2,formal_retained_accuracy_gain_vs_residual_nonfinite|formal_review_lift_nonfinite|formal_review_recall_of_residual_errors_nonfinite
DrugBAN,human,seed_4,target,base,0.9,0.1,0.2,formal_error_detection_auprc_nonfinite|formal_error_detection_auroc_nonfinite|formal_retained_accuracy_gain_vs_residual_nonfinite|formal_review_lift_nonfinite|formal_review_recall_of_residual_errors_nonfinite|v2_error_detection_auprc_nonfinite|v2_error_detection_auroc_nonfinite|v2_retained_accuracy_gain_vs_residual_nonfinite|v2_review_lift_nonfinite|v2_review_recall_of_residual_errors_nonfinite
DrugBAN,human,seed_4,target,base,0.9,0.2,0.2,formal_error_detection_auprc_nonfinite|formal_error_detection_auroc_nonfinite|formal_retained_accuracy_gain_vs_residual_nonfinite|formal_review_lift_nonfinite|formal_review_recall_of_residual_errors_nonfinite|v2_error_detection_auprc_nonfinite|v2_error_detection_auroc_nonfinite|v2_retained_accuracy_gain_vs_residual_nonfinite|v2_review_lift_nonfinite|v2_review_recall_of_residual_errors_nonfinite
DrugBAN,human,seed_4,drug,base,0.8,0.1,0.2,formal_retained_accuracy_gain_vs_residual_nonfinite|formal_review_lift_nonfinite|formal_review_recall_of_residual_errors_nonfinite
DrugBAN,human,seed_4,drug,base,0.8,0.2,0.2,formal_retained_accuracy_gain_vs_residual_nonfinite|formal_review_lift_nonfinite|formal_review_recall_of_residual_errors_nonfinite
DrugBAN,human,seed_4,drug,base,0.9,0.1,0.2,formal_error_detection_auprc_nonfinite|formal_error_detection_auroc_nonfinite|formal_retained_accuracy_gain_vs_residual_nonfinite|formal_review_lift_nonfinite|formal_review_recall_of_residual_errors_nonfinite|v2_error_detection_auprc_nonfinite|v2_error_detection_auroc_nonfinite|v2_retained_accuracy_gain_vs_residual_nonfinite|v2_review_lift_nonfinite|v2_review_recall_of_residual_errors_nonfinite
DrugBAN,human,seed_4,drug,base,0.9,0.2,0.2,formal_error_detection_auprc_nonfinite|formal_error_detection_auroc_nonfinite|formal_retained_accuracy_gain_vs_residual_nonfinite|formal_review_lift_nonfinite|formal_review_recall_of_residual_errors_nonfinite|v2_error_detection_auprc_nonfinite|v2_error_detection_auroc_nonfinite|v2_retained_accuracy_gain_vs_residual_nonfinite|v2_review_lift_nonfinite|v2_review_recall_of_residual_errors_nonfinite
DrugBAN,human,seed_5,target,base,0.9,0.2,0.2,formal_retained_accuracy_gain_vs_residual_nonfinite|formal_review_lift_nonfinite|formal_review_recall_of_residual_errors_nonfinite
DrugBAN,human,seed_5,drug,base,0.9,0.2,0.2,formal_retained_accuracy_gain_vs_residual_nonfinite|formal_review_lift_nonfinite|formal_review_recall_of_residual_errors_nonfinite
DrugBAN,human,seed_6,target,base,0.8,0.1,0.2,formal_retained_accuracy_gain_vs_residual_nonfinite|formal_review_lift_nonfinite|formal_review_recall_of_residual_errors_nonfinite
DrugBAN,human,seed_6,target,base,0.8,0.2,0.2,formal_retained_accuracy_gain_vs_residual_nonfinite|formal_review_lift_nonfinite|formal_review_recall_of_residual_errors_nonfinite
DrugBAN,human,seed_6,target,base,0.9,0.1,0.2,formal_error_detection_auprc_nonfinite|formal_error_detection_auroc_nonfinite|formal_retained_accuracy_gain_vs_residual_nonfinite|formal_review_lift_nonfinite|formal_review_recall_of_residual_errors_nonfinite|v2_error_detection_auprc_nonfinite|v2_error_detection_auroc_nonfinite|v2_retained_accuracy_gain_vs_residual_nonfinite|v2_review_lift_nonfinite|v2_review_recall_of_residual_errors_nonfinite
DrugBAN,human,seed_6,target,base,0.9,0.2,0.2,formal_error_detection_auprc_nonfinite|formal_error_detection_auroc_nonfinite|formal_retained_accuracy_gain_vs_residual_nonfinite|formal_review_lift_nonfinite|formal_review_recall_of_residual_errors_nonfinite|v2_error_detection_auprc_nonfinite|v2_error_detection_auroc_nonfinite|v2_retained_accuracy_gain_vs_residual_nonfinite|v2_review_lift_nonfinite|v2_review_recall_of_residual_errors_nonfinite
DrugBAN,human,seed_6,drug,base,0.8,0.1,0.2,formal_retained_accuracy_gain_vs_residual_nonfinite|formal_review_lift_nonfinite|formal_review_recall_of_residual_errors_nonfinite
DrugBAN,human,seed_6,drug,base,0.8,0.2,0.2,formal_retained_accuracy_gain_vs_residual_nonfinite|formal_review_lift_nonfinite|formal_review_recall_of_residual_errors_nonfinite
DrugBAN,human,seed_6,drug,base,0.9,0.1,0.2,formal_error_detection_auprc_nonfinite|formal_error_detection_auroc_nonfinite|formal_retained_accuracy_gain_vs_residual_nonfinite|formal_review_lift_nonfinite|formal_review_recall_of_residual_errors_nonfinite|v2_error_detection_auprc_nonfinite|v2_error_detection_auroc_nonfinite|v2_retained_accuracy_gain_vs_residual_nonfinite|v2_review_lift_nonfinite|v2_review_recall_of_residual_errors_nonfinite
DrugBAN,human,seed_6,drug,base,0.9,0.2,0.2,formal_error_detection_auprc_nonfinite|formal_error_detection_auroc_nonfinite|formal_retained_accuracy_gain_vs_residual_nonfinite|formal_review_lift_nonfinite|formal_review_recall_of_residual_errors_nonfinite|v2_error_detection_auprc_nonfinite|v2_error_detection_auroc_nonfinite|v2_retained_accuracy_gain_vs_residual_nonfinite|v2_review_lift_nonfinite|v2_review_recall_of_residual_errors_nonfinite
DrugBAN,human,seed_7,target,base,0.9,0.1,0.2,formal_error_detection_auprc_nonfinite|formal_error_detection_auroc_nonfinite|formal_retained_accuracy_gain_vs_residual_nonfinite|formal_review_lift_nonfinite|formal_review_recall_of_residual_errors_nonfinite|v2_error_detection_auprc_nonfinite|v2_error_detection_auroc_nonfinite
DrugBAN,human,seed_7,target,base,0.9,0.2,0.2,formal_error_detection_auprc_nonfinite|formal_error_detection_auroc_nonfinite|formal_retained_accuracy_gain_vs_residual_nonfinite|formal_review_lift_nonfinite|formal_review_recall_of_residual_errors_nonfinite|v2_error_detection_auprc_nonfinite|v2_error_detection_auroc_nonfinite
DrugBAN,human,seed_7,drug,base,0.9,0.1,0.2,formal_error_detection_auprc_nonfinite|formal_error_detection_auroc_nonfinite|formal_retained_accuracy_gain_vs_residual_nonfinite|formal_review_lift_nonfinite|formal_review_recall_of_residual_errors_nonfinite|v2_error_detection_auprc_nonfinite|v2_error_detection_auroc_nonfinite
DrugBAN,human,seed_7,drug,base,0.9,0.2,0.2,formal_error_detection_auprc_nonfinite|formal_error_detection_auroc_nonfinite|formal_retained_accuracy_gain_vs_residual_nonfinite|formal_review_lift_nonfinite|formal_review_recall_of_residual_errors_nonfinite|v2_error_detection_auprc_nonfinite|v2_error_detection_auroc_nonfinite
